경상북도,봉화군,35.1,11254,32052
경상북도,울진군,27.2,13360,49188
경상북도,울릉군,24.5,2337,9521
경상남도,진주시,16.2,56205,347489
경상남도,통영시,18.3,24027,131089
경상남도,사천시,21.1,23560,111845
경상남도,김해시,10.7,57951,542713
경상남도,밀양시,27.2,28656,105459
경상남도,거제시,10.1,25087,248130
경상남도,양산시,12.8,45017,351168
경상남도,창원시,13.5,141192,1044579
경상남도,의령군,35.8,9708,27131
경상남도,함안군,23.5,15416,65491
경상남도,창녕군,29.7,18453,62182
경상남도,고성군,29.9,15620,52204
경상남도,남해군,36.8,16005,43539
경상남도,하동군,32.6,15122,46331
경상남도,산청군,35.3,12468,35336
경상남도,함양군,32.5,12846,39555
경상남도,거창군,26.8,16657,62049
경상남도,합천군,38.3,17256,45054
제주특별자치도,제주시,13.7,67058,489202
제주특별자치도,서귀포시,18.6,33846,181547
