지역,사업장 수(1종),사업장 수(2종),사업장 수(3종),배출구 수(1종),배출구 수(2종),배출구 수(3종),방지시설 수(1종),방지시설 수(2종),방지시설 수(3종),배출시설 수(1종),배출시설 수(2종),배출시설 수(3종)
전라북도 김제,4.0,9.0,14.0,150.0,58.0,125.0,135.0,58.0,131.0,184.0,73.0,291.0
전라북도 남원,,4.0,3.0,,25.0,10.0,,35.0,13.0,,45.0,13.0
전라북도 무주,,2.0,2.0,,6.0,9.0,,10.0,4.0,,9.0,25.0
전라북도 부안,,3.0,4.0,,19.0,19.0,,33.0,24.0,,46.0,31.0
전라북도 순창,,4.0,1.0,,43.0,3.0,,22.0,3.0,,62.0,4.0
전라북도 완주,11.0,15.0,11.0,647.0,200.0,115.0,585.0,279.0,163.0,1788.0,1989.0,955.0
전라북도 익산,12.0,17.0,24.0,409.0,293.0,185.0,470.0,339.0,238.0,944.0,854.0,962.0
전라북도 임실,1.0,1.0,1.0,20.0,3.0,4.0,12.0,5.0,4.0,22.0,5.0,4.0
전라북도 장수,1.0,1.0,,3.0,7.0,,5.0,9.0,,4.0,12.0,
전라북도 정읍,3.0,11.0,9.0,87.0,132.0,81.0,90.0,140.0,71.0,140.0,265.0,146.0
전라북도 진안,,1.0,1.0,,3.0,4.0,,5.0,6.0,,5.0,7.0
제주특별자치도 서귀포,4.0,,2.0,16.0,,2.0,29.0,,4.0,14.0,,6.0
제주특별자치도 제주,3.0,2.0,3.0,23.0,3.0,16.0,43.0,6.0,23.0,21.0,4.0,22.0
충청남도 계룡,1.0,,,1.0,,,3.0,,,1.0,,
충청남도 공주,1.0,5.0,8.0,1.0,44.0,100.0,3.0,85.0,103.0,1.0,512.0,190.0
충청남도 금산,2.0,1.0,6.0,149.0,2.0,19.0,274.0,5.0,25.0,1071.0,4.0,27.0
충청남도 논산,5.0,3.0,6.0,86.0,62.0,33.0,105.0,63.0,45.0,225.0,127.0,68.0
충청남도 당진,1.0,,,21.0,,,21.0,,,30.0,,
충청남도 당진,24.0,18.0,23.0,747.0,278.0,383.0,741.0,262.0,303.0,2041.0,710.0,1392.0
충청남도 보령,6.0,4.0,2.0,174.0,53.0,19.0,173.0,64.0,21.0,316.0,306.0,38.0
충청남도 부여,2.0,1.0,4.0,67.0,26.0,16.0,40.0,48.0,21.0,103.0,183.0,23.0
충청남도 서산,30.0,5.0,13.0,1572.0,39.0,101.0,1094.0,42.0,95.0,4340.0,269.0,574.0
충청남도 서천,4.0,4.0,8.0,62.0,63.0,27.0,69.0,57.0,32.0,89.0,88.0,41.0
충청남도 아산,18.0,21.0,19.0,834.0,323.0,205.0,781.0,312.0,161.0,4020.0,1409.0,419.0
충청남도 예산,8.0,3.0,13.0,46.0,17.0,199.0,81.0,26.0,180.0,109.0,49.0,453.0
충청남도 청양,2.0,3.0,1.0,29.0,33.0,5.0,39.0,44.0,4.0,99.0,68.0,6.0
충청남도 태안,2.0,1.0,2.0,182.0,3.0,6.0,207.0,8.0,10.0,318.0,16.0,10.0
충청남도 홍성,1.0,5.0,7.0,7.0,120.0,56.0,4.0,128.0,58.0,7.0,324.0,105.0
충청북도 괴산,1.0,6.0,3.0,1.0,35.0,20.0,3.0,35.0,38.0,1.0,62.0,58.0
충청북도 단양,8.0,6.0,2.0,355.0,36.0,4.0,398.0,49.0,5.0,634.0,89.0,13.0
